Біграмма;Частота;Вірогідність;
еб;1130;0.00252936186214754;
ыл;987;0.002209274476052763;
аж;611;0.001367646104223139;
еп;1525;0.0034135193272345123;
хм;89;0.00019921522631073546;
ок;1475;0.003301600660767807;
ак;2857;0.006395032601907542;
аз;1799;0.0040268336194720575;
хп;217;0.00048572701246550105;
ис;2544;0.005694421749825967;
оя;497;0.0011124715446790509;
ви;1491;0.0033374146340371526;
сь;1285;0.0028763097281943265;
че;2055;0.004599857191781589;
рт;345;0.0007722387986202667;
ур;342;0.0007655236786322644;
ли;4090;0.009154946916976495;
бе;872;0.0019518615431793407;
ео;867;0.0019406696765326703;
мн;1145;0.0025629374620875518;
иб;793;0.0017750300501619464;
ус;880;0.0019697685298140136;
ыа;25;5.595933323335266e-05;
дл;479;0.0010721808247510368;
яд;484;0.0010833726913977075;
ьн;1224;0.002739768955104946;
пу;369;0.0008259597585242852;
ше;1100;0.002462210662267517;
лу;792;0.0017727916768326122;
жи;656;0.0014683729040431738;
ме;1989;0.004452124552045538;
зв;417;0.0009334016783323223;
ша;323;0.0007229945853749163;
яс;805;0.0018018905301139556;
ьж;37;8.281981318536194e-05;
ез;963;0.0021555535161487446;
хд;197;0.00044095954587881897;
вс;1634;0.0036575020201319295;
св;1020;0.0022831407959207884;
яз;307;0.0006871806121055707;
су;751;0.001681018370329914;
дн;966;0.0021622686361367468;
ик;1547;0.0034627635404798625;
иф;159;0.0003559013593641229;
яв;726;0.0016250590370965612;
се;1989;0.004452124552045538;
мь;83;0.00018578498633473083;
ба;702;0.0015713380771925425;
ос;4040;0.00904302825050979;
жа;538;0.0012042448511817491;
ще;831;0.0018600882366766425;
ть;3562;0.007973085799088087;
тс;976;0.0021846523694300877;
як;413;0.0009244481850149859;
ма;1355;0.003032995861247714;
чи;804;0.0017996521567846214;
кн;444;0.0009938377582243431;
ач;749;0.0016765416236712456;
лю;527;0.001179622744559074;
ои;1032;0.0023100012758727976;
гл;563;0.001260204184415102;
ьс;1211;0.0027106701018236026;
ру;1141;0.002553983968770215;
ющ;181;0.0004051455726094732;
ий;519;0.0011617157579244012;
рп;133;0.00029770365280143614;
ре;3399;0.007608230946406627;
ьп;409;0.0009154946916976494;
вл;530;0.0011863378645470763;
сл;1616;0.003617211300203916;
уж;731;0.0016362509037432316;
ащ;138;0.00030889551944810666;
ие;1489;0.0033329378873784843;
со;1738;0.0038902928463826767;
ве;2605;0.005830962522915347;
вд;357;0.000799099278572276;
ол;3251;0.007276951693665179;
жн;703;0.0015735764505218767;
тя;309;0.0006916573587642388;
хи;272;0.0006088375455788769;
ге;186;0.0004163374392561438;
нр;119;0.00026636642619075866;
иу;300;0.0006715119988002319;
нг;75;0.00016787799970005798;
ун;525;0.0011751459979004058;
ас;2593;0.005804102042963338;
лм;84;0.00018802335966406494;
мо;2295;0.005137066790821774;
щн;40;8.953493317336425e-05;
сб;161;0.00036037810602279114;
шн;142;0.0003178490127654431;
им;1895;0.004241717459088131;
ня;591;0.0013228786376364569;
ям;393;0.0008796807184283038;
кл;420;0.0009401167983203246;
вт;395;0.000884157465086972;
ри;2259;0.005056485350965746;
сп;891;0.001994390636436689;
ой;1719;0.0038477637531253287;
нт;538;0.0012042448511817491;
ча;1086;0.0024308734356568397;
сж;55;0.00012311053311337585;
тн;901;0.00201677436973003;
об;3113;0.006968056174217073;
щи;398;0.0008908725850749743;
лж;210;0.0004700583991601623;
ое;1293;0.0028942167148289996;
мр;122;0.00027308154617876096;
еш;484;0.0010833726913977075;
тр;1385;0.003100147061127737;
нь;566;0.001266919304403104;
юм;87;0.00019473847965206724;
ир;734;0.001642966023731234;
он;4878;0.010918785100491771;
та;2951;0.006605439694864948;
йз;90;0.00020145359964006957;
ах;507;0.001134855277972392;
ый;615;0.0013765995975404755;
ид;1214;0.0027173852218116052;
ех;338;0.0007565701853149279;
эт;1334;0.0029859900213316977;
йк;360;0.0008058143985602783;
пи;392;0.0008774423450989697;
чн;561;0.0012557274377564336;
чо;37;8.281981318536194e-05;
вк;373;0.0008349132518416216;
ср;217;0.00048572701246550105;
мк;314;0.0007028492254109094;
ьв;550;0.0012311053311337586;
яп;511;0.0011438087712897283;
аг;540;0.0012087215978404174;
ьч;269;0.0006021224255908746;
вр;539;0.0012064832245110833;
ут;807;0.0018063672767726238;
иэ;168;0.0003760467193281299;
бы;1862;0.004167851139220106;
пл;349;0.0007811922919376031;
ох;275;0.0006155526655668793;
ду;996;0.00222941983601677;
ши;766;0.0017145939702699255;
бл;480;0.001074419198080371;
ил;2334;0.005224363350665804;
дь;325;0.0007274713320335846;
бу;629;0.001407936824151153;
шь;238;0.0005327328523815173;
вп;431;0.0009647389049429998;
мп;602;0.001347500744259132;
ож;1345;0.003010612127954373;
мэ;108;0.00024174431956808348;
кр;924;0.0020682569563047143;
му;1429;0.003198635487618438;
зм;270;0.0006043607989202087;
вб;116;0.00025965130620275636;
уп;1670;0.0037380834599879576;
уо;250;0.0005595933323335266;
нб;168;0.0003760467193281299;
пр;3590;0.008035760252309442;
жч;22;4.924421324535034e-05;
йх;25;5.595933323335266e-05;
ощ;116;0.00025965130620275636;
дт;113;0.000252936186214754;
ян;862;0.0019294778098859996;
мч;227;0.0005081107457588421;
вз;287;0.0006424131455188885;
иж;199;0.00044543629253748714;
дя;156;0.00034918623937612057;
ек;1198;0.0026815712485422595;
уш;268;0.0005998840522615405;
рх;84;0.00018802335966406494;
уб;381;0.0008528202384762945;
вш;415;0.0009289249316736542;
ая;888;0.0019876755164486863;
ря;452;0.001011744744859016;
са;631;0.001412413570809821;
ыб;196;0.00043872117254948484;
кж;75;0.00016787799970005798;
ао;596;0.0013340705042831273;
кг;29;6.491282655068909e-05;
еч;840;0.0018802335966406492;
ры;651;0.0014571810373965033;
за;2367;0.00529822967053383;
ев;1686;0.0037738974332573033;
ыр;179;0.00040066882595080506;
ля;851;0.0019048557032633245;
ку;821;0.0018377045033833013;
юр;177;0.00039619207929213684;
ту;676;0.0015131403706298559;
кв;286;0.0006401747721895545;
гд;534;0.0011952913578644128;
аш;355;0.0007946225319136077;
хф;32;7.16279465386914e-05;
хк;158;0.0003536629860347888;
га;554;0.001240058824451095;
хэ;40;8.953493317336425e-05;
ьх;47;0.000105203546478703;
ош;391;0.0008752039717696355;
ци;442;0.000989361011565675;
нд;259;0.0005797386922975335;
рн;433;0.0009692156516016681;
рж;332;0.0007431399453389233;
ук;531;0.0011885762378764104;
йч;237;0.0005304944790521832;
нп;252;0.0005640700789921948;
лн;391;0.0008752039717696355;
ап;960;0.002148838396160742;
мя;338;0.0007565701853149279;
дв;496;0.0011102331713497167;
нс;592;0.001325117010965791;
ща;191;0.0004275293059028143;
нв;219;0.0004902037591241693;
ьр;100;0.00022383733293341064;
еи;600;0.0013430239976004639;
ые;635;0.0014213670641271576;
уг;565;0.00126468093107377;
ум;794;0.0017772684234912805;
оц;104;0.00023279082625074705;
иа;213;0.00047677351914816467;
юд;247;0.0005528782123455242;
ьм;427;0.0009557854116256634;
ьз;246;0.0005506398390161902;
оп;1776;0.0039753510328973726;
ху;79;0.0001768314930173944;
жд;502;0.0011236634113257213;
сф;23;5.148258657468445e-05;
сы;168;0.0003760467193281299;
рь;367;0.000821483011865617;
йм;312;0.0006983724787522411;
еж;527;0.001179622744559074;
аб;630;0.0014101751974804869;
иц;407;0.0009110179450389813;
бс;157;0.0003514246127054547;
лч;228;0.0005103491190881763;
же;2273;0.005087822577576424;
ых;581;0.0013004949043431157;
шо;99;0.00022159895960407653;
лб;136;0.00030441877278943844;
ыт;455;0.0010184598648470184;
ьк;836;0.001871280103323313;
лд;134;0.00029994202613077027;
ае;859;0.0019227626898979974;
яш;28;6.267445322135498e-05;
бн;227;0.0005081107457588421;
юэ;19;4.252909325734802e-05;
рю;35;7.834306652669372e-05;
рш;82;0.00018354661300539672;
аи;612;0.001369884477552473;
хш;30;6.715119988002319e-05;
вэ;135;0.00030218039946010435;
йн;466;0.0010430819714696935;
бр;454;0.0010162214915176843;
уч;646;0.0014459891707498326;
йд;311;0.0006961341054229071;
бя;314;0.0007028492254109094;
лв;263;0.00058869218561487;
яи;380;0.0008505818651469604;
хж;58;0.00012982565310137818;
мс;510;0.0011415703979603942;
ды;272;0.0006088375455788769;
ац;218;0.0004879653857948352;
йб;118;0.0002641280528614245;
лп;233;0.0005215409857348467;
це;433;0.0009692156516016681;
мв;382;0.0008550586118056286;
оф;99;0.00022159895960407653;
ьц;50;0.00011191866646670532;
ьт;272;0.0006088375455788769;
иг;452;0.001011744744859016;
иш;325;0.0007274713320335846;
пн;107;0.00023950594623874937;
мш;22;4.924421324535034e-05;
ыс;608;0.0013609309842351367;
ып;291;0.0006513666388362249;
сн;622;0.0013922682108458142;
йв;363;0.0008125295185482806;
уи;250;0.0005595933323335266;
мд;229;0.0005125874924175103;
ея;200;0.00044767466586682127;
йо;276;0.0006177910388962133;
ью;251;0.0005618317056628607;
кс;296;0.0006625585054828955;
ию;222;0.0004969188791121716;
ух;164;0.00036709322601079344;
бх;49;0.00010968029313737121;
мф;51;0.00011415703979603943;
гб;44;9.848842649070068e-05;
ув;547;0.0012243902111457562;
нщ;45;0.00010072679982003478;
тл;508;0.001137093651301726;
сг;52;0.00011639541312537352;
йи;326;0.0007297097053629186;
яу;151;0.00033799437272945005;
шл;195;0.00043648279922015075;
ык;175;0.0003917153326334686;
ын;326;0.0007297097053629186;
ье;485;0.0010856110647270416;
уе;195;0.00043648279922015075;
хт;70;0.00015668613305338744;
ги;407;0.0009110179450389813;
зк;97;0.0002171222129454083;
нц;141;0.000315610639436109;
ыг;90;0.00020145359964006957;
лы;260;0.0005819770656268677;
зр;201;0.00044991303919615535;
ыш;187;0.0004185758125854779;
ьф;110;0.0002462210662267517;
кп;181;0.0004051455726094732;
шк;150;0.00033575599940011597;
см;470;0.00105203546478703;
юб;303;0.0006782271187882342;
ха;169;0.00037828509265746396;
цо;132;0.00029546527947210205;
ьш;315;0.0007050875987402434;
пы;138;0.00030889551944810666;
зу;196;0.00043872117254948484;
ья;186;0.0004163374392561438;
ну;1145;0.0025629374620875518;
яэ;114;0.00025517455954408814;
гр;311;0.0006961341054229071;
оа;67;0.00014997101306538514;
жо;90;0.00020145359964006957;
сэ;112;0.0002506978128854199;
ьо;395;0.000884157465086972;
сд;254;0.000568546825650863;
чь;117;0.00026188967953209044;
лр;56;0.00012534890644270996;
ял;475;0.0010632273314337005;
оэ;205;0.0004588665325134918;
шт;50;0.00011191866646670532;
тк;365;0.0008170062652069489;
зя;97;0.0002171222129454083;
хн;164;0.00036709322601079344;
тц;85;0.00019026173299339905;
сз;22;4.924421324535034e-05;
эр;286;0.0006401747721895545;
дк;153;0.00034247111938811827;
ыо;210;0.0004700583991601623;
рс;289;0.0006468898921775568;
аю;414;0.00092668655834432;
йр;119;0.00026636642619075866;
эл;68;0.00015220938639471922;
бъ;63;0.0001410175197480487;
цу;56;0.00012534890644270996;
мт;167;0.00037380834599879575;
юж;38;8.505818651469605e-05;
ьи;408;0.0009132563183683154;
ыч;120;0.00026860479952009274;
рл;39;8.729655984403014e-05;
тч;209;0.00046782002583082823;
цы;54;0.00012087215978404174;
ул;496;0.0011102331713497167;
чк;102;0.00022831407959207885;
хв;210;0.0004700583991601623;
ищ;73;0.00016340125304138977;
кз;51;0.00011415703979603943;
лз;75;0.00016787799970005798;
рм;152;0.0003402327460587842;
зг;195;0.00043648279922015075;
кб;108;0.00024174431956808348;
йэ;54;0.00012087215978404174;
йж;103;0.00023055245292141296;
йт;318;0.0007118027187282458;
ьу;141;0.000315610639436109;
зч;14;3.133722661067749e-05;
нч;120;0.00026860479952009274;
тф;18;4.0290719928013914e-05;
лг;126;0.0002820350394960974;
юс;216;0.00048348863913616697;
йе;88;0.00019697685298140135;
рз;38;8.505818651469605e-05;
мл;119;0.00026636642619075866;
ец;211;0.00047229677248949645;
йш;96;0.0002148838396160742;
лэ;49;0.00010968029313737121;
тм;106;0.00023726757290941527;
гу;223;0.0004991572524415057;
мб;169;0.00037828509265746396;
ца;335;0.0007498550653269256;
кч;60;0.00013430239976004637;
уэ;93;0.0002081687196280719;
дх;26;5.819770656268676e-05;
хч;47;0.000105203546478703;
шу;97;0.0002171222129454083;
юе;33;7.386631986802551e-05;
кд;87;0.00019473847965206724;
тд;191;0.0004275293059028143;
йц;35;7.834306652669372e-05;
ыи;158;0.0003536629860347888;
йг;83;0.00018578498633473083;
ют;242;0.0005416863456988538;
аэ;184;0.0004118606925974756;
яб;246;0.0005506398390161902;
юг;36;8.058143985602783e-05;
тз;66;0.00014773263973605103;
хр;98;0.00021936058627474242;
хл;113;0.000252936186214754;
цт;8;1.790698663467285e-05;
ую;446;0.0009983145048830114;
юв;106;0.00023726757290941527;
ню;60;0.00013430239976004637;
яо;378;0.0008461051184882922;
цп;29;6.491282655068909e-05;
ьб;237;0.0005304944790521832;
ьг;159;0.0003559013593641229;
вм;136;0.00030441877278943844;
оу;371;0.0008304365051829535;
тп;333;0.0007453783186682574;
вь;68;0.00015220938639471922;
ыж;25;5.595933323335266e-05;
йа;57;0.00012758727977204407;
уа;82;0.00018354661300539672;
чу;224;0.0005013956257708398;
сш;50;0.00011191866646670532;
фу;31;6.93895732093573e-05;
ыд;180;0.00040290719928013914;
км;103;0.00023055245292141296;
гт;18;4.0290719928013914e-05;
дч;44;9.848842649070068e-05;
эд;36;8.058143985602783e-05;
рд;228;0.0005103491190881763;
хб;107;0.00023950594623874937;
йф;87;0.00019473847965206724;
рг;96;0.0002148838396160742;
сю;76;0.0001701163730293921;
ящ;139;0.0003111338927774408;
мю;7;1.5668613305338745e-05;
хз;63;0.0001410175197480487;
йу;138;0.00030889551944810666;
яе;216;0.00048348863913616697;
юи;84;0.00018802335966406494;
еа;145;0.0003245641327534454;
вч;102;0.00022831407959207885;
мз;95;0.0002126454662867401;
гк;68;0.00015220938639471922;
лф;31;6.93895732093573e-05;
вя;183;0.00040962231926814144;
сх;98;0.00021936058627474242;
кц;120;0.00026860479952009274;
ях;162;0.0003626164793521252;
уф;31;6.93895732093573e-05;
юн;112;0.0002506978128854199;
гз;11;2.462210662267517e-05;
цф;3;6.715119988002319e-06;
яр;181;0.0004051455726094732;
зп;58;0.00012982565310137818;
ъя;96;0.0002148838396160742;
аф;81;0.0001813082396760626;
юл;24;5.372095990401855e-05;
вф;49;0.00010968029313737121;
ьд;342;0.0007655236786322644;
тэ;54;0.00012087215978404174;
пк;34;7.610469319735961e-05;
зи;244;0.0005461630923575219;
лт;136;0.00030441877278943844;
ыз;104;0.00023279082625074705;
вц;30;6.715119988002319e-05;
яж;198;0.00044319791920815305;
уя;68;0.00015220938639471922;
яч;263;0.00058869218561487;
дц;164;0.00036709322601079344;
дп;213;0.00047677351914816467;
юч;153;0.00034247111938811827;
гн;107;0.00023950594623874937;
юх;10;2.2383733293341063e-05;
юо;105;0.00023502919958008116;
бэ;49;0.00010968029313737121;
уз;193;0.00043200605256148253;
еэ;199;0.00044543629253748714;
мж;52;0.00011639541312537352;
мх;31;6.93895732093573e-05;
зы;138;0.00030889551944810666;
дю;10;2.2383733293341063e-05;
йл;390;0.0008729655984403015;
цв;41;9.177330650269836e-05;
ъе;41;9.177330650269836e-05;
дъ;19;4.252909325734802e-05;
юк;103;0.00023055245292141296;
жэ;4;8.953493317336426e-06;
жз;5;1.1191866646670531e-05;
дб;61;0.00013654077308938048;
ьщ;6;1.3430239976004637e-05;
эв;38;8.505818651469605e-05;
нш;4;8.953493317336426e-06;
дз;66;0.00014773263973605103;
жк;43;9.625005316136657e-05;
юа;20;4.4767466586682126e-05;
бщ;93;0.0002081687196280719;
ыф;12;2.6860479952009275e-05;
кш;15;3.357559994001159e-05;
вг;134;0.00029994202613077027;
хя;22;4.924421324535034e-05;
еф;95;0.0002126454662867401;
дш;27;6.043607989202087e-05;
гм;11;2.462210662267517e-05;
кя;33;7.386631986802551e-05;
кэ;101;0.00022607570626274475;
зх;3;6.715119988002319e-06;
жп;10;2.2383733293341063e-05;
нэ;19;4.252909325734802e-05;
юш;24;5.372095990401855e-05;
тб;127;0.0002842734128254315;
дм;48;0.0001074419198080371;
ьл;91;0.00020369197296940368;
ьа;45;0.00010072679982003478;
чш;70;0.00015668613305338744;
хе;83;0.00018578498633473083;
ыу;73;0.00016340125304138977;
яа;53;0.00011863378645470763;
рч;59;0.00013206402643071226;
нз;89;0.00019921522631073546;
юп;119;0.00026636642619075866;
пт;27;6.043607989202087e-05;
фе;51;0.00011415703979603943;
тж;41;9.177330650269836e-05;
лц;6;1.3430239976004637e-05;
зъ;8;1.790698663467285e-05;
гв;26;5.819770656268676e-05;
гю;1;2.2383733293341064e-06;
йщ;6;1.3430239976004637e-05;
зс;64;0.0001432558930773828;
ою;144;0.0003223257594241113;
мг;95;0.0002126454662867401;
щу;38;8.505818651469605e-05;
зь;58;0.00012982565310137818;
уй;34;7.610469319735961e-05;
нх;278;0.0006222677855548816;
юз;27;6.043607989202087e-05;
кф;13;2.909885328134338e-05;
гп;27;6.043607989202087e-05;
рб;83;0.00018578498633473083;
зт;40;8.953493317336425e-05;
яц;57;0.00012758727977204407;
цб;9;2.0145359964006957e-05;
цс;14;3.133722661067749e-05;
ею;102;0.00022831407959207885;
жу;90;0.00020145359964006957;
яю;51;0.00011415703979603943;
жл;7;1.5668613305338745e-05;
юф;19;4.252909325734802e-05;
пч;3;6.715119988002319e-06;
бк;41;9.177330650269836e-05;
ыя;33;7.386631986802551e-05;
зш;8;1.790698663467285e-05;
эм;29;6.491282655068909e-05;
зц;7;1.5668613305338745e-05;
зл;134;0.00029994202613077027;
вщ;4;8.953493317336426e-06;
зж;21;4.7005839916016235e-05;
юу;28;6.267445322135498e-05;
нм;69;0.00015444775972405333;
нж;14;3.133722661067749e-05;
фл;11;2.462210662267517e-05;
рщ;3;6.715119988002319e-06;
бф;1;2.2383733293341064e-06;
цл;1;2.2383733293341064e-06;
цэ;6;1.3430239976004637e-05;
ыщ;17;3.8052346598679805e-05;
зэ;18;4.0290719928013914e-05;
жб;15;3.357559994001159e-05;
йю;5;1.1191866646670531e-05;
тг;33;7.386631986802551e-05;
вх;30;6.715119988002319e-05;
ыэ;42;9.401167983203247e-05;
гс;46;0.0001029651731493689;
зб;104;0.00023279082625074705;
лх;11;2.462210662267517e-05;
цд;8;1.790698663467285e-05;
хг;58;0.00012982565310137818;
шс;3;6.715119988002319e-06;
жя;3;6.715119988002319e-06;
тх;9;2.0145359964006957e-05;
гф;2;4.476746658668213e-06;
дф;8;1.790698663467285e-05;
жт;11;2.462210662267517e-05;
эф;7;1.5668613305338745e-05;
йя;29;6.491282655068909e-05;
пь;7;1.5668613305338745e-05;
гч;27;6.043607989202087e-05;
пс;61;0.00013654077308938048;
пэ;1;2.2383733293341064e-06;
юй;21;4.7005839916016235e-05;
фн;4;8.953493317336426e-06;
бм;20;4.4767466586682126e-05;
чр;19;4.252909325734802e-05;
рц;14;3.133722661067749e-05;
эк;34;7.610469319735961e-05;
бп;2;4.476746658668213e-06;
жь;15;3.357559994001159e-05;
эг;6;1.3430239976004637e-05;
мц;6;1.3430239976004637e-05;
вю;2;4.476746658668213e-06;
нъ;6;1.3430239976004637e-05;
фд;2;4.476746658668213e-06;
вж;25;5.595933323335266e-05;
хц;10;2.2383733293341063e-05;
сц;27;6.043607989202087e-05;
кх;17;3.8052346598679805e-05;
нл;21;4.7005839916016235e-05;
пв;4;8.953493317336426e-06;
дг;16;3.58139732693457e-05;
эп;7;1.5668613305338745e-05;
чд;143;0.00032008738609477723;
чв;11;2.462210662267517e-05;
ьэ;116;0.00025965130620275636;
бь;13;2.909885328134338e-05;
жв;11;2.462210662267517e-05;
жм;3;6.715119988002319e-06;
нф;8;1.790698663467285e-05;
цм;7;1.5668613305338745e-05;
бв;66;0.00014773263973605103;
бж;9;2.0145359964006957e-05;
цк;16;3.58139732693457e-05;
чл;30;6.715119988002319e-05;
чс;4;8.953493317336426e-06;
зф;13;2.909885328134338e-05;
цр;3;6.715119988002319e-06;
цн;17;3.8052346598679805e-05;
зю;1;2.2383733293341064e-06;
тю;136;0.00030441877278943844;
бз;6;1.3430239976004637e-05;
эй;312;0.0006983724787522411;
уц;4;8.953493317336426e-06;
бд;19;4.252909325734802e-05;
чп;3;6.715119988002319e-06;
жг;4;8.953493317336426e-06;
фч;5;1.1191866646670531e-05;
бш;8;1.790698663467285e-05;
ыю;1;2.2383733293341064e-06;
зщ;1;2.2383733293341064e-06;
тщ;25;5.595933323335266e-05;
жс;20;4.4767466586682126e-05;
яй;18;4.0290719928013914e-05;
ыц;4;8.953493317336426e-06;
фт;7;1.5668613305338745e-05;
шю;2;4.476746658668213e-06;
эб;1;2.2383733293341064e-06;
пш;5;1.1191866646670531e-05;
фк;1;2.2383733293341064e-06;
шд;3;6.715119988002319e-06;
бю;5;1.1191866646670531e-05;
лш;11;2.462210662267517e-05;
щь;23;5.148258657468445e-05;
фы;5;1.1191866646670531e-05;
шр;2;4.476746658668213e-06;
тш;18;4.0290719928013914e-05;
эс;3;6.715119988002319e-06;
съ;4;8.953493317336426e-06;
юя;15;3.357559994001159e-05;
эз;1;2.2383733293341064e-06;
фв;2;4.476746658668213e-06;
цч;3;6.715119988002319e-06;
гэ;3;6.715119988002319e-06;
ця;6;1.3430239976004637e-05;
щр;1;2.2383733293341064e-06;
цг;1;2.2383733293341064e-06;
хщ;2;4.476746658668213e-06;
юц;4;8.953493317336426e-06;
чб;2;4.476746658668213e-06;
цх;2;4.476746658668213e-06;
мщ;4;8.953493317336426e-06;
шп;4;8.953493317336426e-06;
чм;1;2.2383733293341064e-06;
чя;2;4.476746658668213e-06;
ъю;4;8.953493317336426e-06;
тъ;6;1.3430239976004637e-05;
жр;3;6.715119988002319e-06;
шм;6;1.3430239976004637e-05;
чз;1;2.2383733293341064e-06;
бт;6;1.3430239976004637e-05;
цж;1;2.2383733293341064e-06;
фь;1;2.2383733293341064e-06;
чэ;1;2.2383733293341064e-06;
гь;3;6.715119988002319e-06;
пм;1;2.2383733293341064e-06;
шв;2;4.476746658668213e-06;
пщ;1;2.2383733293341064e-06;
фс;1;2.2383733293341064e-06;
хъ;2;4.476746658668213e-06;
фп;3;6.715119988002319e-06;
цз;2;4.476746658668213e-06;
гя;1;2.2383733293341064e-06;
пц;2;4.476746658668213e-06;
кю;7;1.5668613305338745e-05;
фз;1;2.2383733293341064e-06;
лщ;1;2.2383733293341064e-06;
фэ;1;2.2383733293341064e-06;
шч;1;2.2383733293341064e-06;
